,short_title,url,datetime_local,popularity,score,venue_name,venue_extended_address,stats_listing_count,stats_average_price,stats_lowest_price_good_deals,stats_lowest_price,stats_highest_price,event_promotion
28,Girl From The North Country - New York,https://seatgeek.com/girl-from-the-north-country-new-york-tickets/belasco-theatre-2021-11-17-2-pm/broadway/5414331,2021-11-17T14:00:00,0.556,0.342,Belasco Theatre,"New York, NY 10036",80.0,646.0,137.0,137.0,1511.0,
29,Flying Over Sunset - New York,https://seatgeek.com/flying-over-sunset-new-york-tickets/lincoln-center-theater-vivian-beaumont-2021-11-17-2-pm/broadway/5529719,2021-11-17T14:00:00,0.575,0.353,Lincoln Center Theater-Vivian Beaumont,"New York, NY 10023",65.0,713.0,168.0,164.0,1184.0,
30,Blue Man Group - New York,https://seatgeek.com/blue-man-group-new-york-tickets/astor-place-2021-11-17-7-pm/broadway/5520873,2021-11-17T19:00:00,0.603,0.403,Astor Place,"New York, NY 10003",6.0,175.0,,131.0,534.0,
31,The Lehman Trilogy - New York,https://seatgeek.com/the-lehman-trilogy-new-york-tickets/nederlander-theatre-2021-11-17-7-pm/broadway/5418160,2021-11-17T19:00:00,0.588,0.388,Nederlander Theatre,"New York, NY 10036",75.0,636.0,194.0,96.0,1969.0,
32,The Lion King - New York,https://seatgeek.com/the-lion-king-new-york-tickets/minskoff-theatre-2021-11-17-7-pm/broadway/5315512,2021-11-17T19:00:00,0.614,0.452,Minskoff Theatre,"New York, NY 10036",99.0,449.0,119.0,119.0,1136.0,
33,Aladdin - New York,https://seatgeek.com/aladdin-new-york-tickets/new-amsterdam-theatre-2021-11-17-7-pm/broadway/5315315,2021-11-17T19:00:00,0.642,0.495,New Amsterdam Theatre,"New York, NY 10036",43.0,503.0,324.0,324.0,688.0,
34,To Kill a Mockingbird - New York,https://seatgeek.com/to-kill-a-mockingbird-new-york-tickets/shubert-theatre-1-2021-11-17-7-pm/broadway/5421790,2021-11-17T19:00:00,0.592,0.388,Shubert Theatre,"New York, NY 10036",79.0,896.0,82.0,82.0,2144.0,
35,Chicken and Biscuits - New York,https://seatgeek.com/chicken-and-biscuits-new-york-tickets/circle-in-the-square-theatre-2021-11-17-7-pm/broadway/5529661,2021-11-17T19:00:00,0.57,0.351,Circle In The Square Theatre,"New York, NY 10019",1.0,244.0,,244.0,244.0,
36,Little Shop of Horrors - New York,https://seatgeek.com/little-shop-of-horrors-new-york-tickets/westside-theatre-upstairs-1-2021-11-17-7-pm/broadway/5406168,2021-11-17T19:00:00,0.702,0.553,Westside Theatre Upstairs,"New York, NY 10036",1.0,204.0,,168.0,239.0,
37,Wicked - New York,https://seatgeek.com/wicked-new-york-tickets/gershwin-theatre-2021-11-17-7-pm/broadway/5405245,2021-11-17T19:00:00,0.592,0.432,Gershwin Theatre,"New York, NY 10019",144.0,402.0,160.0,159.0,824.0,
38,Clyde's - New York,https://seatgeek.com/clydes-new-york-tickets/helen-hayes-theatre-2021-11-17-7-pm/broadway/5539100,2021-11-17T19:00:00,0.578,0.361,Helen Hayes Theatre,"New York, NY 10036",4.0,811.0,643.0,643.0,1409.0,
39,Come From Away - New York,https://seatgeek.com/come-from-away-new-york-tickets/gerald-schoenfeld-theatre-2021-11-17-7-pm/broadway/5401820,2021-11-17T19:00:00,0.596,0.409,Gerald Schoenfeld Theatre,"New York, NY 10036",78.0,449.0,106.0,106.0,987.0,
40,The Book of Mormon,https://seatgeek.com/the-book-of-mormon-tickets/eugene-o-neill-theatre-2021-11-17-7-pm/broadway/5422910,2021-11-17T19:00:00,0.781,0.648,Eugene O'Neill Theatre,"New York, NY 10019",110.0,139.0,100.0,100.0,216.0,
41,Jersey Boys - New York,https://seatgeek.com/jersey-boys-new-york-tickets/new-world-stages-2021-11-17-7-pm/broadway/5398763,2021-11-17T19:00:00,0.579,0.381,New World Stages,"New York, NY 10019",16.0,505.0,,132.0,791.0,
42,Hadestown,https://seatgeek.com/hadestown-tickets/walter-kerr-theatre-2021-11-17-7-30-pm/broadway/5383418,2021-11-17T19:30:00,0.818,0.676,Walter Kerr Theatre,"New York, NY 10036",26.0,156.0,132.0,132.0,269.0,
43,Is This A Room - New York,https://seatgeek.com/is-this-a-room-new-york-tickets/lyceum-theatre-2021-11-17-8-pm/broadway/5539235,2021-11-17T20:00:00,0.574,0.35,Lyceum Theatre,"New York, NY 10036",12.0,191.0,120.0,120.0,229.0,
